date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:17	2531/2531	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Aug%202021%2023:55:17%20GMT	https://gtoria.net/robots.txt		(from )
01:55:17	7904/7904	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:17%20GMT	https://gtoria.net/	C:/My%20Web%20Sites/axone%20v2/gtoria.net/index.html	(from )
01:55:17	130832/130832	---MCZ	200	added ('OK')	text/css	etag:W/%221ff10-5bb7da7bc60c0%22	https://gtoria.net/core/html/css/bootstrap.css	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/css/bootstrap.css	(from https://gtoria.net/)
01:55:17	1394/1394	---MCZ	200	added ('OK')	text/css	etag:W/%22572-5c90902947f2e%22	https://gtoria.net/core/html/css/global.css?v=8	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/css/global8e0e.css	(from https://gtoria.net/)
01:55:17	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-5bb7da7bc60c0%22	https://gtoria.net/core/html/css/font-awesome.min.css	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/css/font-awesome.min.css	(from https://gtoria.net/)
01:55:17	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2210be-5c19f57f4d7b9%22	https://gtoria.net/favicon.ico	C:/My%20Web%20Sites/axone%20v2/gtoria.net/favicon.ico	(from https://gtoria.net/)
01:55:18	86351/86351	---MCZ	200	added ('OK')	application/javascript	etag:W/%221514f-5bb7da7bc60c0%22	https://gtoria.net/core/html/js/jquery-3.1.0.min.js	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/js/jquery-3.1.0.min.js	(from https://gtoria.net/)
01:55:18	10160/10160	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227b0-5bb7da7bc60c0%22	https://gtoria.net/core/html/js/gibberish-aes-1.0.0.min.js	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/js/gibberish-aes-1.0.0.min.js	(from https://gtoria.net/)
01:55:18	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2290b5-5bb7da7bc60c0%22	https://gtoria.net/core/html/js/bootstrap.min.js	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/js/bootstrap.min.js	(from https://gtoria.net/)
01:55:18	141853/141853	---MC-	200	added ('OK')	text/javascript	date:Mon,%2023%20Aug%202021%2023:55:18%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/axone%20v2/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://gtoria.net/)
01:55:19	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/axone%20v2/www.google-analytics.com/analytics.js	(from https://gtoria.net/)
01:55:19	2387/2387	---MCZ	200	added ('OK')	text/css	etag:W/%22953-5c908ff6af117%22	https://gtoria.net/core/html/css/style.css?v=28	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/css/style4cc8.css	(from https://gtoria.net/)
01:55:19	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b44-5bb7da7bc60c0%22	https://gtoria.net/core/html/js/particles.min.js	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/js/particles.min.js	(from https://gtoria.net/)
01:55:19	4276/4276	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210b4-5c341ca5122aa%22	https://gtoria.net/core/func/js/html/navigation.js?v=1010	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/func/js/html/navigationd480.js	(from https://gtoria.net/)
01:55:19	9838/9838	---M--	200	added ('OK')	image/png	etag:%22266e-5c1228a472619%22	https://gtoria.net/core/html/img/logo.png	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/img/logo.png	(from https://gtoria.net/)
01:55:20	7334/7334	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:20%20GMT	https://gtoria.net/forum	C:/My%20Web%20Sites/axone%20v2/gtoria.net/forum.html	(from https://gtoria.net/)
01:55:20	8807/8807	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:20%20GMT	https://gtoria.net/games	C:/My%20Web%20Sites/axone%20v2/gtoria.net/games.html	(from https://gtoria.net/)
01:55:20	8206/8206	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:20%20GMT	https://gtoria.net/catalog	C:/My%20Web%20Sites/axone%20v2/gtoria.net/catalog.html	(from https://gtoria.net/)
01:55:21	7023/7023	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:21%20GMT	https://gtoria.net/users	C:/My%20Web%20Sites/axone%20v2/gtoria.net/users.html	(from https://gtoria.net/)
01:55:21	2958/2958	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8e-5bb7da7bc60c0%22	https://gtoria.net/core/func/js/auth/login.js?v=3	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/func/js/auth/login30f4.js	(from https://gtoria.net/)
01:55:21	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2023%20Aug%202021%2023:55:21%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/axone%20v2/www.google.com/recaptcha/api.js	(from https://gtoria.net/)
01:55:21	4957/4957	---MCZ	200	added ('OK')	application/javascript	etag:W/%22135d-5c37f6661769c%22	https://gtoria.net/core/func/js/auth/register.js?v=22	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/func/js/auth/registerbcfe.js	(from https://gtoria.net/)
01:55:22	7334/7334	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:22%20GMT	https://gtoria.net/forum+134	C:/My%20Web%20Sites/axone%20v2/gtoria.net/forum+134.html	(from https://gtoria.net/)
01:55:22	7334/7334	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:55:22%20GMT	https://gtoria.net/forum+136	C:/My%20Web%20Sites/axone%20v2/gtoria.net/forum+136.html	(from https://gtoria.net/)
01:55:22	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224e9f-5bb7da7bc60c0%22	https://gtoria.net/core/html/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/axone%20v2/gtoria.net/core/html/fonts/glyphicons-halflings-regular.eot	(from https://gtoria.net/core/html/css/bootstrap.css)
